,typology,neighbourhood,cost_month,url
0,Entire Place, Bica,"€1,400",https://www.uniplaces.com/accommodation/lisbon/462700?search-id=1666203074922_undefined
1,Bedroom, Pena,€450,https://www.uniplaces.com/accommodation/lisbon/528643?search-id=1666203074922_undefined
2,Entire Place, Benfica,"€2,000",https://www.uniplaces.com/accommodation/lisbon/528719?search-id=1666203074922_undefined
3,Entire Place, Sintra,€570,https://www.uniplaces.com/accommodation/lisbon/318416?search-id=1666203074922_undefined
4,Bedroom, Parque das Nações,€390,https://www.uniplaces.com/accommodation/lisbon/269050?search-id=1666203074922_undefined
5,Bedroom, Carcavelos,€450,https://www.uniplaces.com/accommodation/lisbon/528565?search-id=1666203074922_undefined
6,Bedroom, Olaias,"€1,650",https://www.uniplaces.com/accommodation/lisbon/520213?search-id=1666203074922_undefined
7,Bedroom, Carcavelos,€450,https://www.uniplaces.com/accommodation/lisbon/528564?search-id=1666203074922_undefined
8,Bedroom, Sintra,€350,https://www.uniplaces.com/accommodation/lisbon/528487?search-id=1666203074922_undefined
9,Bedroom, Sintra,€350,https://www.uniplaces.com/accommodation/lisbon/528488?search-id=1666203074922_undefined
10,Entire Place, Alvalade,"€1,195",https://www.uniplaces.com/accommodation/lisbon/528535?search-id=1666203074922_undefined
11,Bedroom, Caparica,€600,https://www.uniplaces.com/accommodation/lisbon/528560?search-id=1666203074922_undefined
12,Bedroom, Caparica,€600,https://www.uniplaces.com/accommodation/lisbon/528559?search-id=1666203074922_undefined
13,Entire Place, Entrecampos,"€2,079",https://www.uniplaces.com/accommodation/lisbon/257145?search-id=1666203074922_undefined
14,Bedroom, Restelo,€450,https://www.uniplaces.com/accommodation/lisbon/428365?search-id=1666203074922_undefined
15,Entire Place, Martim Moniz,"€3,591",https://www.uniplaces.com/accommodation/lisbon/465023?search-id=1666203074922_undefined
16,Bedroom, Sintra,€650,https://www.uniplaces.com/accommodation/lisbon/528372?search-id=1666203074922_undefined
17,Entire Place, Bairro Alto,"€1,800",https://www.uniplaces.com/accommodation/lisbon/269837?search-id=1666203074922_undefined
18,Bedroom, Mouraria,€850,https://www.uniplaces.com/accommodation/lisbon/528375?search-id=1666203074922_undefined
19,Bedroom, Mouraria,€850,https://www.uniplaces.com/accommodation/lisbon/528378?search-id=1666203074922_undefined
20,Entire Place, Lapa,"€3,000",https://www.uniplaces.com/accommodation/lisbon/259567?search-id=1666203074922_undefined
21,Bedroom, Arroios,€495,https://www.uniplaces.com/accommodation/lisbon/128538?search-id=1666203074922_undefined
22,Entire Place, Alvalade,€730,https://www.uniplaces.com/accommodation/lisbon/261293?search-id=1666203074922_undefined
23,Entire Place, Martim Moniz,"€1,175",https://www.uniplaces.com/accommodation/lisbon/226985?search-id=1666203074922_undefined
24,Entire Place, Martim Moniz,"€1,185",https://www.uniplaces.com/accommodation/lisbon/226983?search-id=1666203074922_undefined
25,Entire Place, Martim Moniz,"€1,250",https://www.uniplaces.com/accommodation/lisbon/71196?search-id=1666203074922_undefined
26,Entire Place, Entrecampos,"€1,100",https://www.uniplaces.com/accommodation/lisbon/465727?search-id=1666203074922_undefined
27,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36862?search-id=1666203074922_undefined
28,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36917?search-id=1666203074922_undefined
29,Entire Place, Santa Apolónia,"€2,079",https://www.uniplaces.com/accommodation/lisbon/400927?search-id=1666203074922_undefined
30,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36853?search-id=1666203074922_undefined
31,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36910?search-id=1666203074922_undefined
32,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/69619?search-id=1666203074922_undefined
33,Entire Place, Santos,€880,https://www.uniplaces.com/accommodation/lisbon/61039?search-id=1666203074922_undefined
34,Bedroom, Arroios,€475,https://www.uniplaces.com/accommodation/lisbon/56785?search-id=1666203074922_undefined
35,Entire Place, Príncipe Real,€990,https://www.uniplaces.com/accommodation/lisbon/44656?search-id=1666203074922_undefined
36,Entire Place, Mouraria,€695,https://www.uniplaces.com/accommodation/lisbon/189242?search-id=1666203074922_undefined
37,Entire Place, Mouraria,€740,https://www.uniplaces.com/accommodation/lisbon/25385?search-id=1666203074922_undefined
38,Entire Place, Martim Moniz,"€2,160",https://www.uniplaces.com/accommodation/lisbon/405350?search-id=1666203074922_undefined
39,Entire Place, Mouraria,"€1,175",https://www.uniplaces.com/accommodation/lisbon/60337?search-id=1666203074922_undefined
40,Entire Place, Martim Moniz,"€2,550",https://www.uniplaces.com/accommodation/lisbon/296214?search-id=1666203074922_undefined
41,Entire Place, Martim Moniz,"€1,325",https://www.uniplaces.com/accommodation/lisbon/226995?search-id=1666203074922_undefined
42,Entire Place, Martim Moniz,"€1,275",https://www.uniplaces.com/accommodation/lisbon/226989?search-id=1666203074922_undefined
43,Entire Place, Martim Moniz,"€1,250",https://www.uniplaces.com/accommodation/lisbon/70364?search-id=1666203074922_undefined
44,Entire Place, Martim Moniz,"€1,275",https://www.uniplaces.com/accommodation/lisbon/70362?search-id=1666203074922_undefined
45,Entire Place, Campolide,€970,https://www.uniplaces.com/accommodation/lisbon/144144?search-id=1666203074922_undefined
