,Unnamed: 0,typology,neighbourhood,cost_month,url,distance,duration
0,0,Entire Place, Bica,"€1,400",https://www.uniplaces.com/accommodation/lisbon/462700?search-id=1666203074922_undefined,2.1 km,14 mins
1,1,Bedroom, Pena,€450,https://www.uniplaces.com/accommodation/lisbon/528643?search-id=1666203074922_undefined,3.7 km,21 mins
2,2,Entire Place, Benfica,"€2,000",https://www.uniplaces.com/accommodation/lisbon/528719?search-id=1666203074922_undefined,12.0 km,46 mins
3,3,Entire Place, Sintra,€570,https://www.uniplaces.com/accommodation/lisbon/318416?search-id=1666203074922_undefined,31.3 km,1 hour 1 min
4,4,Bedroom, Parque das Nações,€390,https://www.uniplaces.com/accommodation/lisbon/269050?search-id=1666203074922_undefined,7.4 km,23 mins
5,5,Bedroom, Carcavelos,€450,https://www.uniplaces.com/accommodation/lisbon/528565?search-id=1666203074922_undefined,19.7 km,50 mins
6,6,Bedroom, Olaias,"€1,650",https://www.uniplaces.com/accommodation/lisbon/520213?search-id=1666203074922_undefined,4.7 km,24 mins
7,7,Bedroom, Carcavelos,€450,https://www.uniplaces.com/accommodation/lisbon/528564?search-id=1666203074922_undefined,19.7 km,50 mins
8,8,Bedroom, Sintra,€350,https://www.uniplaces.com/accommodation/lisbon/528487?search-id=1666203074922_undefined,31.3 km,1 hour 1 min
9,9,Bedroom, Sintra,€350,https://www.uniplaces.com/accommodation/lisbon/528488?search-id=1666203074922_undefined,31.3 km,1 hour 1 min
10,10,Entire Place, Alvalade,"€1,195",https://www.uniplaces.com/accommodation/lisbon/528535?search-id=1666203074922_undefined,6.8 km,33 mins
11,11,Bedroom, Caparica,€600,https://www.uniplaces.com/accommodation/lisbon/528560?search-id=1666203074922_undefined,10.9 km,1 hour 10 mins
12,12,Bedroom, Caparica,€600,https://www.uniplaces.com/accommodation/lisbon/528559?search-id=1666203074922_undefined,10.9 km,1 hour 10 mins
13,13,Entire Place, Entrecampos,"€2,079",https://www.uniplaces.com/accommodation/lisbon/257145?search-id=1666203074922_undefined,6.8 km,22 mins
14,14,Bedroom, Restelo,€450,https://www.uniplaces.com/accommodation/lisbon/428365?search-id=1666203074922_undefined,9.0 km,46 mins
15,15,Entire Place, Martim Moniz,"€3,591",https://www.uniplaces.com/accommodation/lisbon/465023?search-id=1666203074922_undefined,1.8 km,16 mins
16,16,Bedroom, Sintra,€650,https://www.uniplaces.com/accommodation/lisbon/528372?search-id=1666203074922_undefined,31.3 km,1 hour 1 min
17,17,Entire Place, Bairro Alto,"€1,800",https://www.uniplaces.com/accommodation/lisbon/269837?search-id=1666203074922_undefined,2.8 km,18 mins
18,18,Bedroom, Mouraria,€850,https://www.uniplaces.com/accommodation/lisbon/528375?search-id=1666203074922_undefined,3.8 km,19 mins
19,19,Bedroom, Mouraria,€850,https://www.uniplaces.com/accommodation/lisbon/528378?search-id=1666203074922_undefined,3.8 km,19 mins
20,20,Entire Place, Lapa,"€3,000",https://www.uniplaces.com/accommodation/lisbon/259567?search-id=1666203074922_undefined,3.9 km,26 mins
21,21,Bedroom, Arroios,€495,https://www.uniplaces.com/accommodation/lisbon/128538?search-id=1666203074922_undefined,4.3 km,22 mins
22,22,Entire Place, Alvalade,€730,https://www.uniplaces.com/accommodation/lisbon/261293?search-id=1666203074922_undefined,6.8 km,33 mins
23,23,Entire Place, Martim Moniz,"€1,175",https://www.uniplaces.com/accommodation/lisbon/226985?search-id=1666203074922_undefined,1.8 km,16 mins
24,24,Entire Place, Martim Moniz,"€1,185",https://www.uniplaces.com/accommodation/lisbon/226983?search-id=1666203074922_undefined,1.8 km,16 mins
25,25,Entire Place, Martim Moniz,"€1,250",https://www.uniplaces.com/accommodation/lisbon/71196?search-id=1666203074922_undefined,1.8 km,16 mins
26,26,Entire Place, Entrecampos,"€1,100",https://www.uniplaces.com/accommodation/lisbon/465727?search-id=1666203074922_undefined,6.8 km,22 mins
27,27,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36862?search-id=1666203074922_undefined,1.6 km,13 mins
28,28,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36917?search-id=1666203074922_undefined,1.6 km,13 mins
29,29,Entire Place, Santa Apolónia,"€2,079",https://www.uniplaces.com/accommodation/lisbon/400927?search-id=1666203074922_undefined,0.6 km,5 mins
30,30,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36853?search-id=1666203074922_undefined,1.6 km,13 mins
31,31,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/36910?search-id=1666203074922_undefined,1.6 km,13 mins
32,32,Entire Place, Baixa,€780,https://www.uniplaces.com/accommodation/lisbon/69619?search-id=1666203074922_undefined,1.6 km,13 mins
33,33,Entire Place, Santos,€880,https://www.uniplaces.com/accommodation/lisbon/61039?search-id=1666203074922_undefined,3.3 km,24 mins
34,34,Bedroom, Arroios,€475,https://www.uniplaces.com/accommodation/lisbon/56785?search-id=1666203074922_undefined,4.3 km,22 mins
35,35,Entire Place, Príncipe Real,€990,https://www.uniplaces.com/accommodation/lisbon/44656?search-id=1666203074922_undefined,4.4 km,21 mins
36,36,Entire Place, Mouraria,€695,https://www.uniplaces.com/accommodation/lisbon/189242?search-id=1666203074922_undefined,3.8 km,19 mins
37,37,Entire Place, Mouraria,€740,https://www.uniplaces.com/accommodation/lisbon/25385?search-id=1666203074922_undefined,3.8 km,19 mins
38,38,Entire Place, Martim Moniz,"€2,160",https://www.uniplaces.com/accommodation/lisbon/405350?search-id=1666203074922_undefined,1.8 km,16 mins
39,39,Entire Place, Mouraria,"€1,175",https://www.uniplaces.com/accommodation/lisbon/60337?search-id=1666203074922_undefined,3.8 km,19 mins
40,40,Entire Place, Martim Moniz,"€2,550",https://www.uniplaces.com/accommodation/lisbon/296214?search-id=1666203074922_undefined,1.8 km,16 mins
41,41,Entire Place, Martim Moniz,"€1,325",https://www.uniplaces.com/accommodation/lisbon/226995?search-id=1666203074922_undefined,1.8 km,16 mins
42,42,Entire Place, Martim Moniz,"€1,275",https://www.uniplaces.com/accommodation/lisbon/226989?search-id=1666203074922_undefined,1.8 km,16 mins
43,43,Entire Place, Martim Moniz,"€1,250",https://www.uniplaces.com/accommodation/lisbon/70364?search-id=1666203074922_undefined,1.8 km,16 mins
44,44,Entire Place, Martim Moniz,"€1,275",https://www.uniplaces.com/accommodation/lisbon/70362?search-id=1666203074922_undefined,1.8 km,16 mins
45,45,Entire Place, Campolide,€970,https://www.uniplaces.com/accommodation/lisbon/144144?search-id=1666203074922_undefined,6.7 km,31 mins
